id,key,summary
531977,UNBO-3644,Create playbook page for being able to create the Commodities forest footprint module
531976,UNBO-3643,Create playbook page for being able to create this module
531975,UNBO-3642,Create/update playbook page for Adding variant options to feature module 
531974,UNBO-3641,Create/update playbook page for Signpost variant
531973,UNBO-3640,Create playbook page for hero banner
531972,UNBO-3639,Create/Update playbook page for feature variant 
531852,UNBO-3638,Test production tracking for deforestation 
531833,UNBO-3637,Deforestation: globe image on the pie chart issue
531631,UNBO-3635,Refactor Search Hero module 
531626,UNBO-3634,Add a card variant 
531624,UNBO-3633,Refactor of the Latest News module
531621,UNBO-3632,Share price refactor 
531618,UNBO-3630,Homepage
531604,UNBO-3629,Content Update for the palm story 
531448,UNBO-3628,Test
531408,UNBO-3627,Create change password script
531060,UNBO-3626,Palm oil story content update: Alt text for 360 video 
531043,UNBO-3625,Add PUBLIC_GOOGLE_MAPS_API_KEY and document in Confluence
530855,UNBO-3624,Test story workflow 2
530623,UNBO-3622,Link context does not include production links
530603,UNBO-3621,Request David Lawther & Matthew Crompton Sanity Access
530547,UNBO-3620,Sustainable IT 2024
530329,UNBO-3619,Palm oil landing page layout issues
530320,UNBO-3618,Level Access - Aside element missing unique accessible name
530317,UNBO-3617,Level Access - Link has non-unique accessible name
530314,UNBO-3616,Level Access - Element requires explicit role
530311,UNBO-3613,Remove workflow_run and add conditional based on branch name contains
530249,UNBO-3612,Page performance tool (spec)
530086,UNBO-3611,Add analytics tags for the deforestation landing pages and palm story
530085,UNBO-3610,Provide tagging spec for following deforestation components 
530074,UNBO-3609,Test Tracking the detailed and and landing pages for deforestation
529968,UNBO-3608,Cloud security incidents - AWS UOL account. - 903621788608
529939,UNBO-3606,Review for Automation - Deforestation - Story module
529765,UNBO-3605,Create multiple New Relic alert conditions to satisfy our range of resource functions
529522,UNBO-3604,Search indexes do not have the datestamp on them
529516,UNBO-3602,Create a Confluence release notes document on the release of a Jira Release
529504,UNBO-3600,Review Security control fails for AWS Dev
529503,UNBO-3601,Anchor component only ever links to the first subheading
529501,UNBO-3599,Review Security control fails for AWS Production
529451,UNBO-3598,Allow footnotes to be used in Highlights 
529287,UNBO-3596,Percentage Charts Vue Warning
529279,UNBO-3595,Create SSO integration for all Stage sites
529223,UNBO-3594,Look into the Netlify Security Audit
529119,UNBO-3593,Document the tech spec of moving search to Azure
529114,UNBO-3592,Roll Cookie Management (OneTrust) out to all sites
529109,UNBO-3591,Clean up North Latam (en)
529072,UNBO-3590,Social image not working
529065,UNBO-3588,Enable multiple brand profiles to be put on a brand page 
528869,UNBO-3587,Test story workflow
528864,UNBO-3585,Test task workflow
528854,UNBO-3584,propose a solution for peer reviews and approvals around GTM  
528689,UNBO-3583,Add everyone in Unilever o the DQM SSO teams
528688,UNBO-3582,Generate a Unilever owned Google Maps Key
528479,UNBO-3581,Fix syntax errors in Terraform main.tf file
528474,UNBO-3580,Edit the TF New Relic scripts to use tier levels for locations_public number of hits
528470,UNBO-3579,Handle missing tile data from google
528432,UNBO-3578,No space on message block or section intro
528266,UNBO-3577,Review distilled sites results - 2024-03-01
528227,UNBO-3576,Location filter on brand selection page 
528206,UNBO-3575,Cookies are not being blocked on .dk and .hu
528152,UNBO-3574,Test workflow
528150,UNBO-3573,Bug workflow test
527988,UNBO-3572,Deforestation Content (Update)- General update 
527985,UNBO-3571,Deforestation Content (New page)- Our commitment
527983,UNBO-3570,Rationalised Brand Profiles
527965,UNBO-3569,Tab/summary text not accurate for Digital Sustainability statement
527961,UNBO-3567,Deforestation - build a run book for updating the static data we serve
527951,UNBO-3566,Deforestation content (New) - Our commitment
527933,UNBO-3565,All cookies are dropping before any OT banner interaction - Hong Kong
527932,UNBO-3564,Storybook UolFormGroup Syntax Error
527928,UNBO-3562,Allow sub bullets for Press and News Highlights
527772,UNBO-3561,Add Bengali to non-latin font list in CSS
527760,UNBO-3559,Deforestation Content (update)- NDP landing page 
527747,UNBO-3556,Move redirect for http://www.unileversuppliers.com/
527738,UNBO-3555,Monitoring the number of drafts
